PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,CELEBES COCONUT CORPORATION,02/25/2015,125136,56880,Kaohsiung,"Los Angeles, California",YM MILESTONE,China Taiwan,NO MARKSNO MARKSNO MARKS,". 10200 SW GREENBURG ROAD, SUITE 500 TIGARD, OR 97223",". PUROK 4, BARANGAY BANZA, BUTUAN CITY 8600, PHILIPPINES",97223,3,HJCU2232348 HJCU2208315 RFCU2272451,2CG0 2CG0 2CG0,60,PKG,0, ,HJSCDVO400377500, , ,0021E,HC086100 HC086069 HC086040,LIBERIA, ,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,BRIDGEWELL RESOURCES LLC,". 10200 SW GREENBURG ROAD, SUITE 500 TIGARD, OR 97223","DAVAO, MINDANAO"
URUGUAYAN PINE KD BLANKS S2S URUGUAYAN PINE KD BLANKS S2S,BRIDGEWELL RESOURCES, ,DANK S.A.,02/24/2015,108878,49490,Cartagena,"Oakland, California",HS COLON,Colombia,39605275,"10200 SW GREENBURG RD STE 500 TIGARD, OR 97223 US","JUAN PAULILIER 1671 MONTEVIDEO, UY", ,2,CPSU6022139 HLXU8037230,4510 4510,39,PKG,0,CM,SHKK858700131193,H,HLCUMVD141201097,06W52,HLD0416398 HLD0416342,LIBERIA, ,SHKK,SCHENKEROCEAN LIMITED,WANCHAI, , ,38 FL CHINA RESOURCES BLDG 26 HARBOUR RD,-NOT AVAILABLE-, ,MONTEVIDEO UR
"'SHIPPER'S LOAD, COUNT & SEAL' (156P'KGS) CY / CY UREA 46%N PRILLED PO#00732760 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDURE 'SHIPPER'S LOAD, COUNT & SEAL' (156P'KGS) CY / CY UREA 46%N PRILLED PO#00732760 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDURE 'SHIPPER'S LOAD, COUNT & SEAL' (156P'KGS) CY / CY UREA 46%N PRILLED PO#00732760 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDURE 'SHIPPER'S LOAD, COUNT & SEAL' (156P'KGS) CY / CY UREA 46%N PRILLED PO#00732760 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDURE",BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"SINO STARCO CHEMICAL CO.,LIMITED.",02/24/2015,344916,156780,Pusan,"Tacoma, Washington",OOCL SEOUL,South Korea,N/MN/MN/MN/MN/MN/M,"12420 SE CARPENTER DRIVE, CLACKAMAS,OR 97015 USA FAX #503-742-1198","2 MINJIANG ROAD B-2403,QINGDAO 266071,P.R.CHINA",97015,6,DFSU4240410 HDMU4640380 HDMU4790899 HDMU4719817 DFSU4240087TCLU4172602,42G0 42G0 42G0 42G0 42G042G0,156,PKG,0, ,HDMUQIWB9343409, , ,0026E,E393514 E393542 E393579 E393493 E393461 E393588,HONG KONG, ,HDMU,HYUNDAI MERCHANT MARINE,SEOUL, , ,879 W 190TH ST 7TH FL,"TLR,MARGARET MOWERY","11855 N.E.GLENN WIDING DRIVE, PORTLAND OR 97220 P#503-257-6090 X343","QINGDAO, CHINA"
RAW FLAT JAMBS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,MADEIREIRA SELEME LTDA,02/24/2015,41840,19018,Portocel,"Jacksonville, Florida",MONTE AZUL,Brazil,SELEME / 17,10200 SW GREENBURG RD TIGARD OR 97223 US,AV ENG LOURENCO FAORO 1221 SAO CRISTIVAO CACADOR SC 89500000 BR,97223,1,TCLU1652845,45G1,17,CRT,46,X,FTNVIJS000006217,H,NYKS7101625420,62N,ECSA168469,GERMANY, ,FTNV,FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,BUFFALO,NY,14207,128 DEARBORN STREET,-NOT AVAILABLE-, ,BR
. FAS UNSTEAMED EUROPEAN BEECH KD ROUGH (SQ.-EDGED) PURCHASE ORDER 00734271 HS CODE 44079200 FREIGHT PREPAID DESTINATION THC PREPAID,"BRIDGEWELL RESOURCES, LLC", ,UNMUESSIG TIMBER GMBH,02/23/2015,52800,24000,Stade,"Charleston, South Carolina",CHICAGO EXPRESS,Germany,. NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,INTERNATIONAL WOOD PRODUCTS 10200 SW GREENBURG ROAD TIGARD OR 97223 US,BERTOLDSTR. 44 FREIBURG DE,97223,1,MOTU0732876,4500,15,BDL,0,X,BANQBRE2493642,H,MOLU28008914740,048W,246605,GERMANY, ,BANQ,BLUE ANCHOR LINE,HONG KONG, , ,25/F FLEET HOUSE 38 GLOUCESTER ROAD,RICHARD MURRAY & COMPANY,109 N. CONCEPTION ST. MOBILE AL 36602 US,HAMBURG
"11 PALLET (S) WITH URUGUAYAN PINE K/D BLANKS S2S NET WEIGHT: 22.785 KGS PCS 5095 MBF 20.257 CBM 47.770 ORDER NR.: 728638 ''WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLY FREE FROMLIVE PLANTPEST'' 2ND NOTIFY RICHARD MURRAY & CO.INC. 109N CONCEPTION STREET 102 MOBILE,AL36602 INGEWENTWORTH P:2514325549 EXT.19 F:2514322810 INGE RICHARD-MURRAY.COM",BRIDGEWELL RESOURCES, ,DANK S.A.,02/23/2015,50490,22950,Montevideo,"Houston, Texas",SUAPE EXPRESS,Uruguay,NO MARKS,"10200 SW GREENBURG RD.,STE.500, TIGARD,OR 97223-E RD.,STE.500, TIGARD OR 97223 US",JUAN PAULLIER 1671 PH.59824099999 MONTEVIDEO-URUGUAY 11000 UY,97223,1,HASU4429520,4510,11,PKG,0,CM,ANRM559991231003, , ,452N,HSDG001127,LIBERIA, ,ANRM,ALIANCA NAVEGACAO & LOGISTICA LTDA,MORRISTOWN,NJ,7960,465 SOUTH ST - #301,BRIDGEWELL RESOURCES,"10200 SW GREENBURG PH:5038723535 OR 8007843545 RD.,STE.500, TIGARD OR 97223 US","MONTEVIDEO, URUGU"
"22 PACKAGES BEING: 22 PACKAGES WITH 468 PIECES EACH - 43,450M3 OF 11 16 X4-5 8 X81 FLAT JAMBS PO : 00728956 NCM - 4409.10.00 - WOOD CONTINUOSLY SHAPED ALONG ANY OF ITS EDGES, ENDS, OR FACE, WHETHER OR NOT PLANED, SANDED OR END-JOINTED: CONIFEROUS, STANDARD WOOD MOULDINGS: PINE (PINUS SPP.), END-JOINTED SHIPPED ON BOARD FREIGHT COLLECT RE: 150098945001 SD: 2150075576 1 HS CODE SH: 440910 NET WEIGHT: 19.900,00 KG COMMERCIAL INVOICE - 000.024.690 ALSO NOTIFY PARTY: RICHARD MURRAY & COMPANY 109 N. CONCEPTION ST. MOBILE, AL 36602 PHONE: 251-432-5549 EXT. 19 FAX: 251-432-2810 EMAIL: MAC@RICHARD-MURRAY.COM SHIPPER CONTINUATION: FONE: (49) 3563-1072 FAX: (49) 3563-1254",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,MADEIRAS SALAMONI LTDA.,02/23/2015,44660,20300,Itajay,"Houston, Texas",SUAPE EXPRESS,Brazil,SALAMONI { NCM -------------} TGHU8395558 1 44091000 {-NCM--------------},"10200 SW GREENBURG RD., SUITE 500 TIGARD, OR 97223 - U.S.A. PH: 503-872-3535 FAX: 503-238-266 TIGARD OR 97223 US","83.054.544 0001-63 RODOVIA HONORINO MORO,5520 BAIRRO:SORGATTO CACADOR - SC - BRASIL CACADOR SC 89500000 BR",97223,1,TGHU8395558,4500,22,PCS,0, ,CPLBKHRA9PB00, , ,1452N,LT 1106793,LIBERIA, ,CPLB,COMPANIA LIBRA DE NAVEGACION (URUGUAY) S A,MONTEVIDEO, ,11 100,EDIFICIO PLZZA MAYOR PLZZA INDEPENDENCIA,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD, SUITE 500 TIGARD, OR 97223 PH: 503-872-3535 FAX: 503-238-266 EMAIL: INDINVOICE@BRIDGEWELLRES.C TIGARD OR 97223 US",ITAJAI (SANTA CAT
UREA UREA UREA UREA,BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"SINO STARCO CHEMICAL CO.,LIMITED.",02/22/2015,344916,156780,Ningpo,"Tacoma, Washington",ITAL USODIMARE,China,N/MN/MN/MN/MN/MN/M N/M THE SAME,"12420 SE CARPENTER DRIVE,CLACKAMAS,OR 97015 USA FAX #503-742-1198","2 MINJIANG ROAD B-2403, QINGDAO 266071,P.R.CHINA",97015,6,EGHU1012971 EISU1677017 EMCU1415550 IMTU1004671 EMCU1413860IMTU1074508,42G1 42G1 42G1 42G1 42G142G1,156,PKG,156,X,EGLV140401398604, , ,0379E,EMCBEU8083 EMCBEU8043 EMCBEU8063 EMCBEU8073 EMCBEM4973 EMCBEU8053,ITALY, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,"TLR,MARGARET MOWERY","11855 N.E.GLENN WIDING DRIVE,PORTLAND OR 97220 P#503-257-6090 X343","QINGDAO, CHINA"
1X40HC CONTAINER 20 PALLET WITH 27288PIECES PAINTED PINE F.J. MOULDING PO 731643 CODIGO HS: 44091022 FREIGHT PREPAID,BRIDGEWELL RESOURCES, ,FABRICA DE PUERTAS Y MOLDURAS,02/22/2015,43560,19800,Cartagena,"Houston, Texas",MONTE VERDE,Colombia,NO MARKS,"10200 SW GREENBURG RD, BUILDIN (4TH FLOOR) (4TH FLOOR) OR 97223 US",MOLDECOR LTDA SANTIAGO - CHILE FAX:(56-2)7964860 CL,97223,1,SUDU8786338,4510,27288,PKG,0,CM,SUDUB5SCLAG02431, , ,055N,002850H087171,GERMANY, ,SUDU,HAMBURG SUED,HAMBURG, ,D-20415,WILLY-BRANDT-STRASSE 59-61 POSTFATCH 11 15,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD, BUILDIN TIGARD,OR 97233 PH:1-(503)872 (4TH FLOOR) OR 97223 US",SAN ANTONIO CL
ORGANICEXTRA VIRGIN COCONUT OIL FDA REGIS TRATION NO. : 18761957766 ORGANIC EXTRA VIRGIN COCONUT OIL FDA REGISTRATION NO. : 18761957766,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LUONG QUOI COCONUT CO., LTD",02/21/2015,83424,37920,All Other Viet Nam Ports,"Long Beach, California",COSCO EUROPE,Vietnam,NO MARKS NOMARKSNO MARKS NO MARKS,12420 SE CARPENTER DRIVE- CLACKAMAS OR 97015 US OR 97015 US,"AN HIEP INDUSTRIAL PARK, CHAU THANH DISTRICT BEN TRE PROVINCE, VN BEN TRE PROVINCE, VN",97015,2,CCLU3556124 CSLU1151642,2200 2200,40,PKG,56,X,DNCYGRGLAX151019,H,CHNJSGNLGB080597,040E,R786201 R786202,PANAMA, ,DNCY,DYNAMIC NETWORK CONTAINER LINE LTD,WANCHAI, , ,3602-3 WU CHUNG HOUSE 213 QUEENS RD EAST,BRIDGEWELL RESOURCES LLC,12420 SE CARPENTER DRIVE- CLACKAMAS OR 97015US OR 97015 US,CAI MEP TERMINAL
TAEDA PINE,"BRIDGEWELL RESOURCES, LLC", ,MADEIREIRA BEIRA RIO LTDA,02/21/2015,42632,19378,Port Itapoa,"Norfolk, Virginia",MONTE AZUL,Brazil,NO MARKS,10200 SW GREENBURG ROAD SUITE 500 TIGARD OR 97223 US TIGARD OR97223 US,"BAIRRO INDUSTRIAL, S-N PAPANDUVA BR PAPANDUVABR",97223,1,FCIU8326930,4500,21,PKG,54,X,ITWF150006EM,H,YMLUB951028488,062N,23514,PORTUGAL, ,ITWF,INTERWORLD FREIGHT INC,MIAMI,FL,33166,8225 NW 80TH ST,-NOT AVAILABLE-, ,ITAPOA
01 X 40' HC CONTAINING 18 BUNDLES WITH: MOLDED PINE WOOD FORMOULDINGS STILE STOCK RAW CLEAN ON BOARD SHIPPED ON BOARD EXPRESS RELEASE FREIGHT COLLECT RE: 15/0074844-001 SD: 2150063863/3 NCM: 44189000,BRIDGEWELL RESOURCES, ,AERO COMERCIO DE PORTAS E,02/21/2015,43780,19900,Port Itapoa,"Norfolk, Virginia",MONTE AZUL,Brazil,NO MARKS CES P.O'S.: 143460 723409,"10200 SW GREENBURG RD. PORTLAND, OR 97223 TSANDBERG BRIDGEWEL OR 97223 US",BATENTES LTDA SENG S - PARAN - BRASIL CNPJ: 11.847.182/00 PR 84220-000 BR,97223,1,SUDU6876290,4510,18,PKG,0,CM,SUDU65ITJIA0127X, , ,062N,BOLT4721243,PORTUGAL, ,SUDU,HAMBURG SUED,HAMBURG, ,D-20415,WILLY-BRANDT-STRASSE 59-61 POSTFATCH 11 15,BRIDGEWELL RESOURCES,10200 SW GREENBURG RD. PH: 503 872-3535 TSANDBERG BRIDGEWEL OR 97223 US,ITAPOA SC BR
"COCONUT OIL IN DRUMS 1 X 20' DRY CONTAINER VAN CONTAINING 15.20 MT OF CERTIFIED ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN NEW STEEL DRUMS AS PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. . NET WEIGHT 15.20 MT THE SAME THE SAME THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",02/17/2015,35904,16320,Kaohsiung,"Los Angeles, California",EVER SALUTE,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 060 141212 008 MFG. DATE 12/DECEMBER/2014 NET WEIGHT 190 KG. INGREDIENTS ORGANIC COCONUT OILSTORAGE CONDITIONS COOL ( 70 F/21 C) DO NOT EXPOSE TO OXYGEN, HEAT,LIGHT AND MOISTURE MANUFACTURED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL 503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY. CARIDAD, BAYBAY CITY, LEYTE PHILIPPINES 6521",97223,1,EITU0354029,22G1,80,DRM,25,X,EGLV061400041300, , ,0754E,EMCEHG1883,PANAMA, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD & AG,"PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OR LOCAL 800-570-3566 TOLL FREE",CEBU
"COCONUT OIL IN DRUMS 1 X 20' DRY CONTAINER VAN CONTAINING 15.20 MT OF CERTIFIED ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN NEW STEEL DRUMS AS PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. . NET WEIGHT 15.20 MT THE SAME THE SAME THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",02/17/2015,35904,16320,Kaohsiung,"Los Angeles, California",EVER SALUTE,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 060 141212 008 MFG. DATE 12/DECEMBER/2014 NET WEIGHT 190 KG. INGREDIENTS ORGANIC COCONUT OILSTORAGE CONDITIONS COOL ( 70 F/21 C) DO NOT EXPOSE TO OXYGEN, HEAT,LIGHT AND MOISTURE MANUFACTURED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL 503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY. CARIDAD, BAYBAY CITY, LEYTE PHILIPPINES 6521",97223,1,EITU0045626,22G1,80,DRM,25,X,EGLV061400041318, , ,0754E,EMCEHG5993,PANAMA, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD & AG,"PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OT LOCAL 800-500-3566 TOLL FREE",CEBU
"COCONUT OIL IN DRUMS 1 X 20' DRY CONTAINER VAN CONTAINING 15.20 MT OF CERTIFIED ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN NEW STEEL DRUMS AS PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. . NET WEIGHT 15.20 MT THE SAME THE SAME THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LL, ,"SC GLOBAL COCO PRODUCTS, INC.",02/17/2015,35904,16320,Kaohsiung,"Los Angeles, California",EVER SALUTE,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 060 141212 008 MFG. DATE 12/DECEMBER/2014 NET WEIGHT 190 KG. INGREDIENTS ORGANIC COCONUT OILSTORAGE CONDITIONS COOL ( 70 F/21 C) DO NOT EXPOSE TO OXYGEN, HEAT, LIGHT AND MOISTURE MANUFACUTRED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL 503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY. CARIDAD, BAYBA CITY, LEYTE PHILIPPINES 6521",97223,1,EITU0161020,22G1,80,DRM,25,X,EGLV061400041326, , ,0754E,EMCEHG3603,PANAMA, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD & AG,"PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OR LOCAL 800-570-3566 TOLL FREE",CEBU
"COCONUT OIL IN DRUMS 1 X 20' DRY CONTAINER VAN CONTAINING 15.20 MT OF CERTIFIED ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN NEW STEEL DRUMS AS PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. . NET WEIGHT 15.20 MT THE SAME THE SAME THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",02/17/2015,35904,16320,Kaohsiung,"Los Angeles, California",EVER SALUTE,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 060 141212 008 MFG. DATE 12/DECEMBER/2014 NET WEIGHT 190 KG. INGREDIENTS ORGANIC COCONUT OILSTORAGE CONDITIONS COOL ( 70 F / 21 C) DO NOT EXPOSE TO OXYGEN, HEAT, LIGHT AND MOISTURE MANUFACTURED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL 503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY. CARIDAD, BAYBAY CITY, LEYTE PHILIPPINES 6521",97223,1,EISU2220771,22G1,80,DRM,25,X,EGLV061400042331, , ,0754E,EMCEHM3683,PANAMA, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD & AG,"PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OR LOCAL 800-570-3566 TOLL FREE",CEBU
FROZEN LEMON CONCENTRATE LIMON CONCENTRA DO CONGELADO HS: 200939,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"MASER SPAIN,S.L.",02/17/2015,23400,10636,Valencia,"Los Angeles, California",SANTA RAFAELA,Spain,NO MARKS NO NUMBERS,12420 SE CARPENTER DR CLACKAMAS OR 97015 USA PH: 5037235410 9776921192,"C/MURILLO, 47 45500 TORRIJOS TOLEDO ESPANA. B45638830 PH:+34-925 76403 8 FAX:+34 925771227",97015,1,ZCSU5772080,45R1,90,UNT,0, ,ZIMUVLC0051395, , ,16W,ZZB686562,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES LLC,12420 SE CARPENTER DR CLACKAMAS OR 97015 USA PH: 5037235410 9776921192,VALENCIA
"01 CONTAINER 40'HC CONTAINING 12 PACKAGES WITH 7.347 PIECES OF CLEAR KD TAEDA AND PARANA PINE FJ PRIMED MOULDINGS INCOTERM: CFR RECEIVED ON BOARD FREIGHT: PREPAID CONTRACT NR: PO-00729775 MATERIAL ORIGIN: BRAZIL NCM: 4418200099 NALADI: 44182000 HTS: 4409.10.40.10 HS CODE: 440910 ITEMS INDICATED AS FSC 100% ARE IN ACCORDANCE WITH THE FOLLOWING SPECIFICATIONS: PRODUCTS ''FSC - 1'' ARE FROM FORESTS WITH FORESTRY MANAGMENT FSC-100% RA-COC-001878 THE SOLID WOOD PACKING MATERIALS IN THIS SHIPMENT ARE TOTALLY FREE OF BARK AND APPARENTLY FREE FROM LIFE PLANT PEST. THE REGULATED WOOD HAS BEEN TREATED IN ACCORDANCE WITH THE USDA REQUIREMENTS. THIS CLAUSE IS SHOWN AT SHI PPERS REQUEST FOR THEIR REQUIREMENTS. THE CARRIER IS NOT AWARE OF ITS CONTENTS AND HAS NO LIABILITY IN THIS RESPECT R.E.NO: 15/0051424-001 TO 002 DDE: 2150039894/2 N.F.: 0116504 INVOICE: 1272/14 N.W.: 20.000,000 KGS CONTINUATION CONSIGNEE/ALSO NOTIFY: E-MAIL: SFORSTEBRIDGEWELLRES.COM CONTINUATION NOTIFY: E-MAIL:JANRICHARD-MURRAY. COM CONTRACT. PO AND IN VOICE ARE SHOWN AT SHIPPERS REQUEST FOR THEIR FINANCIAL REQUIREMENTS. THE CARRIER IS NOT AWARE OF ITS CONTENTS AND HAS NO LIABILITY IN THIS RESPECT",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ARAUPEL S/A,02/17/2015,44000,20000,Navagantes,"Baltimore, Maryland",ORCA I,Brazil,ARAUPEL PO-00729775 BALTIMORE LJAET211810000D Q JAMBS T/E FJ PRIMED S4S PACKAGES NBS 43 TO 46 LJAET211810000DQ JAMBS T/E FJ PRIMED S4S F SC - 1 PACKAGES NBS 44 LJAET213000000DQ JAMBS T/E FJ PRIMED S4S PACKAGES NBS 38 TO 42 LJAE T214780000DQ JAMBS T/E FJ PRIMED S4S PACKAGES NBS 47 TO 49 SAMESAME SAME SAME SAME SAME SAME SAME SAMESAME SAME SAME SAME SAME SAME SAME SAMESAME SAME SAME,10200 SW GREENBURG ROAD SUITE 500 TIGARD OR 97223 UNITED STATES,"FAZ. RIO DAS COBRAS, S/N - MANUFATU QUEDAS DO IGUACU PR 85460-000 BRAZI",97223,1,MSCU7705112,4510,12,PKG,38,X,MSCUJ3867171, , ,503R,MSCBR412597,PANAMA, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES LLC,10200 SW GREENBURG ROAD SUITE 500 TIGARD OR 97223 UNITED STATES,NAVEGANTES
TAEDA PINE,"BRIDGEWELL RESOURCES, LLC", ,MADEIREIRA BEIRA RIO LTDA,02/16/2015,46530,21150,Port Itapoa,"Charleston, South Carolina",VENEZIA,Brazil,NO MARKS,10200 SW GREENBURG ROAD SUITE 500 TIGARD OR 97223 US TIGARD OR97223 US,"BAIRRO INDUSTRIAL, S-N PAPANDUVA BR PAPANDUVABR",97223,1,NYKU4230171,4500,20,PKG,59,X,ITWF140119EM,H,NYKS7101722650,001N,ECSA168517,HONG KONG, ,ITWF,INTERWORLD FREIGHT INC,MIAMI,FL,33166,8225 NW 80TH ST,-NOT AVAILABLE-, ,ITAPOA
PINE EDGE GLUED PANELS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ROSINA PORTAS LTDA,02/16/2015,43560,19800,Cartagena,"Oakland, California",HS COLON,Colombia,ROSINA PO 00724563 PORT OF OAKLAND,10200 SW GREENBURG RD TIGARD OR 97223 US,RODOVIA MUNICIPAL RCD 418 400 RIO DOS CEDROS BR,97223,1,HLXU6224524,4510,16800,PCS,46,X,FTNVIJS000006004,H,HLCUSS2141209367,06W52,611006,LIBERIA, ,FTNV,FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,BUFFALO,NY,14207,128 DEARBORN STREET,-NOT AVAILABLE-, ,BR
"2ND NOTIFY RICHARD MURRAY & CO. INC. 109N CONCEPTION STREET #102 MOBILE,AL36602 INGE WENTWORTH P 2514325549 EXT.19 F 2514322810 INGERICHARD-MURRAY.COM 19 PALLET (S) WITH URUGUAYAN PINE K/D BLANKS S2S CBM 46.600 MBF 19.765 PCS 7296 ORDER NR. 724173 NET WEIGHT 22065 KGS WOOD PACKING MATERIALS BEING USED ARE FREE O F BARK & APPARENTLY FREE FROMLIVE PLANT PEST",BRIDGEWELL RESOURCES, ,DANK S.A.,02/16/2015,49170,22350,Balboa,"Oakland, California",MSC ELENI,Panama,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,97223,1,MSCU7854137,4510,19,PKG,46,X,MSCUUU401529, , ,449S,EU0004223641,PANAMA, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",MONTEVIDEO
FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIAL885735 2029353 LAMINATE FLOORING HS CODE 4411.1490 U.S. THC PREPAID,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,FIEGE LOGISTICS (SWITZERLAND) LTD,02/16/2015,43219,19645,Rotterdam,"New York/Newark Area, Newark, New Jersey",EVER DEVOTE,Netherlands,US-NEWARK DELIVERY ADDRESS NEWARK SUPPLY; 661 3RD ST // //,SPECIALTY BUILDING PRODUCTS 9102 INDEPENDENCE AVE US-36526 DAPHNE AL,AS AGENT OF KRONOSPAN SCHWEIZ AG WILLISAUERSTRASSE 37, ,1,YMLU3489943,22G0,1320,PKG,0,CM,YMLUT890032244, , ,0281W,2756855,PANAMA, ,YMLU,YANG MING MARINE TRANSPORT CORP,TAIPEI, , , ,I.L.S. INC.,INTERNATIONAL LOGISTICS SERVICES 18618 S. FERRIS PLACE US-90220 RANCHO DOMINGUEZ CA,ROTTERDAM
